ID,Player,Team,Position,Receptions,Receiving Yards,Receiving Yards per Reception,Receiving Touchdowns,Fumbles
1,Michael Thomas,NOR,WR,149,1725,11.6,9,1
2,Christian McCaffrey ,CAR,RB,116,1005,8.7,4,1
3,Keenan Allen,LAC,WR,104,1199,11.5,6,0
4,DeAndre Hopkins,HOU,WR,104,1165,11.2,7,0
5,Julian Edelman,NWE,WR,100,1117,11.2,6,3
6,Julio Jones ,ATL,WR,99,1394,14.1,6,1
7,Allen Robinson,CHI,WR,98,1147,11.7,7,0
8,Travis Kelce,KAN,TE,97,1229,12.7,5,1
9,Cooper Kupp,LAR,WR,94,1161,12.4,10,3
10,Austin Ekeler,LAC,rb,92,993,10.8,8,3
11,Tyler Boyd,CIN,WR,90,1046,11.6,5,2
12,Darren Waller,OAK,TE,90,1145,12.7,3,1
13,Robert Woods,LAR,WR,90,1134,12.6,2,0
14,Zach Ertz,PHI,TE,88,916,10.4,6,1
15,D.J. Moore,CAR,WR,87,1175,13.5,4,2
16,Chris Godwin,TAM,WR,86,1333,15.5,9,0
17,George Kittle,SFO,TE,85,1053,12.4,5,1
18,Davante Adams,GNB,WR,83,997,12,5,2
19,Jarvis Landry,CLE,WR,83,1174,14.1,6,0
20,Tyler Lockett,SEA,WR,82,1057,12.9,8,1
21,Alvin Kamara,NOR,RB,81,533,6.6,1,4
22,Tarik Cohen,CHI,RB,79,456,5.8,3,3
23,Amari Cooper,DAL,WR,79,1189,15.1,8,0
24,Jamison Crowder,NYJ,WR,78,833,10.7,6,0
25,Leonard Fournette,JAX,RB,76,522,6.9,0,1
26,Larry Fitzgerald,ARI,WR,75,804,10.7,4,1
27,Austin Hooper,ATL,TE,75,787,10.5,6,0
28,Odell Beckham Jr.,CLE,WR,74,1035,14,4,1
29,DJ Chark,JAX,WR,73,1008,13.8,8,0
30,John Brown,BUF,WR,72,1060,14.7,6,0
31,DeVante Parker,MIA,WR,72,1202,16.7,9,0
32,Courtland Sutton,DEN,WR,72,1112,15.4,6,2
33,James White,NWE,,72,645,9,5,1
34,Tyler Higbee,LAR,TE,69,734,10.6,3,0
35,Christian Kirk,ARI,WR,68,709,10.4,3,0
36,Cole Beasley,BUF,WR,67,778,11.6,6,0
37,Mike Evans,TAM,WR,67,1157,17.3,8,0
38,Le'Veon Bell,NYJ,RB,66,461,7,1,1
39,Michael Gallup,DAL,WR,66,1107,16.8,6,0
40,Emmanuel Sanders,2TM,,66,869,13.2,5,0
41,Dede Westbrook,JAX,WR,66,660,10,3,1
42,Kenny Golladay,DET,WR,65,1190,18.3,11,1
43,Mark Andrews,BAL,,64,852,13.3,10,2
44,Stefon Diggs,MIN,WR,63,1130,17.9,6,4
45,Calvin Ridley,ATL,WR,63,866,13.7,7,0
46,Jason Witten,DAL,TE,63,529,8.4,4,1
47,Danny Amendola,DET,WR,62,678,10.9,1,0
48,Marvin Jones,DET,WR,62,779,12.6,9,0
49,Devonta Freeman,ATL,RB,59,410,6.9,4,3
50,Diontae Johnson,PIT,WR,59,680,11.5,5,5
51,Mohamed Sanu,2TM,,59,520,8.8,2,0
52,Dallas Goedert,PHI,TE,58,607,10.5,5,2
53,Tyreek Hill,KAN,WR,58,860,14.8,7,0
54,Terry McLaurin,WAS,WR,58,919,15.8,7,0
55,D.K. Metcalf,SEA,WR,58,900,15.5,7,3
56,Deebo Samuel,SFO,WR,57,802,14.1,3,2
57,Sterling Shepard,NYG,WR,57,576,10.1,3,0
58,Randall Cobb,DAL,wr,55,828,15.1,3,2
59,Hunter Henry,LAC,TE,55,652,11.9,5,1
60,Ezekiel Elliott,DAL,RB,54,420,7.8,2,3
61,Curtis Samuel,CAR,WR,54,627,11.6,6,0
62,Dalvin Cook,MIN,RB,53,519,9.8,0,4
63,Robby Anderson,NYJ,WR,52,779,15,5,1
64,Saquon Barkley,NYG,RB,52,438,8.4,2,1
65,A.J. Brown,TEN,WR,52,1051,20.2,8,1
66,Anthony Miller,CHI,WR,52,656,12.6,2,1
67,Greg Olsen,CAR,TE,52,597,11.5,2,0
68,Sammy Watkins,KAN,WR,52,673,12.9,3,2
69,Mike Gesicki,MIA,te,51,570,11.2,5,1
70,Kenyan Drake,2TM,,50,345,6.9,0,2
71,Miles Sanders,PHI,RB,50,509,10.2,3,2
72,Will Fuller,HOU,WR,49,670,13.7,3,1
73,Russell Gage,ATL,,49,446,9.1,1,1
74,Aaron Jones,GNB,RB,49,474,9.7,3,3
75,Hunter Renfrow,OAK,,49,605,12.3,4,1
76,Golden Tate,NYG,WR,49,676,13.8,6,1
77,Mike Williams,LAC,WR,49,1001,20.4,2,0
78,Darius Slayton,NYG,WR,48,740,15.4,8,0
79,Chris Conley,JAX,WR,47,775,16.5,5,0
80,Jaylen Samuels,PIT,,47,305,6.5,1,1
81,Marquise Brown,BAL,wr,46,584,12.7,7,0
82,T.Y. Hilton,IND,WR,45,501,11.1,5,0
83,Evan Engram,NYG,TE,44,467,10.6,3,0
84,Nyheim Hines,IND,,44,320,7.3,0,1
85,Duke Johnson,HOU,,44,410,9.3,3,1
86,James Washington,PIT,WR,44,735,16.7,3,1
87,Jared Cook,NOR,te,43,705,16.4,9,0
88,Corey Davis,TEN,WR,43,601,14,2,1
89,Jack Doyle,IND,TE,43,448,10.4,4,1
90,Tyler Eifert,CIN,,43,436,10.1,3,0
91,Alex Erickson,CIN,wr,43,529,12.3,0,4
92,Royce Freeman,DEN,,43,256,6,1,0
93,Alshon Jeffery,PHI,WR,43,490,11.4,4,0
94,Albert Wilson,MIA,,43,351,8.2,1,0
95,Brandin Cooks,LAR,WR,42,583,13.9,2,0
96,Melvin Gordon,LAC,RB,42,296,7,1,4
97,JuJu Smith-Schuster,PIT,WR,42,552,13.1,3,1
98,Chris Thompson,WAS,,42,378,9,0,1
99,Tyrell Williams,OAK,WR,42,651,15.5,6,0
100,Jacob Hollister,SEA,,41,349,8.5,3,0
101,Zach Pascal,IND,WR,41,607,14.8,5,0
102,Noah Fant,DEN,TE,40,562,14.1,3,1
103,Kenny Stills,HOU,wr,40,561,14,4,0
104,Auden Tate,CIN,WR,40,575,14.4,1,1
105,Nelson Agholor,PHI,WR,39,363,9.3,3,2
106,Kyle Rudolph,MIN,TE,39,367,9.4,6,0
107,Jamaal Williams,GNB,,39,253,6.5,5,0
108,Jimmy Graham,GNB,TE,38,447,11.8,3,1
109,Vance McDonald,PIT,TE,38,273,7.2,3,1
110,Chris Carson,SEA,RB,37,266,7.2,2,7
111,Gerald Everett,LAR,,37,408,11,2,0
112,Adam Humphries,TEN,,37,374,10.1,2,1
113,Kareem Hunt,CLE,,37,285,7.7,1,1
114,Jordan Akins,HOU,TE,36,418,11.6,2,0
115,Cameron Brate,TAM,TE,36,311,8.6,4,0
116,Nick Chubb,CLE,RB,36,278,7.7,0,3
117,David Johnson,ARI,rb,36,370,10.3,4,1
118,Breshad Perriman,TAM,,36,645,17.9,6,0
119,Jalen Richard,OAK,,36,323,9,0,2
120,Irv Smith Jr.,MIN,,36,311,8.6,2,1
121,Demaryius Thomas,NYJ,WR,36,433,12,1,0
122,DeAndre Washington,OAK,,36,292,8.1,0,0
123,Allen Lazard,GNB,,35,477,13.6,3,0
124,Phillip Lindsay,DEN,RB,35,196,5.6,0,0
125,Joe Mixon,CIN,RB,35,287,8.2,3,0
126,Dare Ogunbowale,TAM,,35,286,8.2,0,2
127,Jonnu Smith,TEN,TE,35,439,12.5,3,0
128,Geronimo Allison,GNB,wr,34,287,8.4,2,2
