Name,team,games,completions,pass_attempts,pct,yards,avg,pass_tds,interceptions,qb_rating,rush_attempts,rush_yds,rush avg,rush_tds,,
Lamar Jackson,BAL,15.00,265.00,401.00,66.10,3127.00,7.80,36.00,6.00,113.34,176.00,1206.00,6.90,7.00,,
Dak Prescott,DAL,16.00,388.00,596.00,65.10,4902.00,8.20,30.00,11.00,99.69,52.00,277.00,5.30,3.00,,
Russell Wilson,SEA,16.00,341.00,516.00,66.10,4110.00,8.00,31.00,5.00,106.33,75.00,342.00,4.60,3.00,,
Deshaun Watson,HOU,15.00,333.00,495.00,67.30,3852.00,7.80,26.00,12.00,97.98,82.00,413.00,5.00,7.00,,
Jameis Winston,TB,16.00,380.00,626.00,60.70,5109.00,8.20,33.00,30.00,84.28,59.00,250.00,4.20,1.00,,
Josh Allen,BUF,16.00,271.00,461.00,58.80,3089.00,6.70,20.00,9.00,85.32,109.00,510.00,4.70,9.00,,
Patrick Mahomes,KC,14.00,319.00,484.00,65.90,4031.00,8.30,26.00,5.00,105.31,43.00,218.00,5.10,2.00,,
Kyler Murray,ARI,16.00,349.00,542.00,64.40,3722.00,6.90,20.00,12.00,87.43,93.00,544.00,5.80,4.00,,
Aaron Rodgers,GB,16.00,353.00,569.00,62.00,4002.00,7.00,26.00,4.00,95.39,46.00,183.00,4.00,1.00,,
Carson Wentz,PHI,16.00,388.00,607.00,63.90,4039.00,6.70,27.00,7.00,93.10,62.00,243.00,3.90,1.00,,
Matt Ryan,ATL,15.00,408.00,616.00,66.20,4466.00,7.20,26.00,14.00,92.09,34.00,147.00,4.30,1.00,,
Tom Brady,NE,16.00,373.00,613.00,60.80,4057.00,6.60,24.00,8.00,87.98,26.00,34.00,1.30,3.00,,
Jared Goff,LAR,16.00,394.00,626.00,62.90,4638.00,7.40,22.00,16.00,86.47,33.00,40.00,1.20,2.00,,
Jimmy Garoppolo,SF,16.00,329.00,476.00,69.10,3978.00,8.40,27.00,13.00,102.03,46.00,62.00,1.30,1.00,,
Kirk Cousins,MIN,15.00,307.00,444.00,69.10,3603.00,8.10,26.00,6.00,107.40,31.00,63.00,2.00,1.00,,
Derek Carr,LV,16.00,361.00,513.00,70.40,4054.00,7.90,21.00,8.00,100.80,27.00,82.00,3.00,2.00,,
Ryan Fitzpatrick,MIA,15.00,311.00,502.00,62.00,3529.00,7.00,20.00,13.00,85.49,54.00,243.00,4.50,4.00,,
Philip Rivers,LAC,16.00,390.00,591.00,66.00,4615.00,7.80,23.00,20.00,88.48,12.00,29.00,2.40,0.00,,
Gardner Minshew II,JAX,14.00,285.00,470.00,60.60,3271.00,7.00,21.00,6.00,91.19,67.00,344.00,5.10,0.00,,
Baker Mayfield,CLE,16.00,317.00,534.00,59.40,3827.00,7.20,22.00,21.00,78.76,28.00,141.00,5.00,3.00,,
Drew Brees,NO,11.00,281.00,378.00,74.30,2979.00,7.90,27.00,4.00,116.27,9.00,-4.00,-0.40,1.00,,
Ryan Tannehill,TEN,12.00,201.00,286.00,70.30,2742.00,9.60,22.00,6.00,117.50,43.00,185.00,4.30,4.00,,
Jacoby Brissett,IND,15.00,272.00,447.00,60.90,2942.00,6.60,18.00,6.00,88.05,56.00,228.00,4.10,4.00,,
Daniel Jones,NYG,13.00,284.00,459.00,61.90,3027.00,6.60,24.00,12.00,87.66,45.00,279.00,6.20,2.00,,
Mitchell Trubisky,CHI,15.00,326.00,516.00,63.20,3138.00,6.10,17.00,10.00,82.98,48.00,193.00,4.00,2.00,,
Andy Dalton,CIN,13.00,314.00,528.00,59.50,3494.00,6.60,16.00,14.00,78.27,32.00,73.00,2.30,4.00,,
Sam Darnold,NYJ,13.00,273.00,441.00,61.90,3024.00,6.90,19.00,13.00,84.32,33.00,62.00,1.90,2.00,,
Kyle Allen,CAR,13.00,303.00,489.00,62.00,3322.00,6.80,17.00,16.00,79.98,32.00,106.00,3.30,2.00,,
Matthew Stafford,DET,8.00,187.00,291.00,64.30,2499.00,8.60,19.00,5.00,106.02,20.00,66.00,3.30,0.00,,
Mason Rudolph,PIT,10.00,176.00,283.00,62.20,1765.00,6.20,13.00,9.00,81.96,21.00,42.00,2.00,0.00,,
Case Keenum,WAS,10.00,160.00,247.00,64.80,1707.00,6.90,11.00,5.00,91.27,9.00,12.00,1.30,1.00,,
Teddy Bridgewater,NO,9.00,133.00,196.00,67.90,1384.00,7.10,9.00,2.00,99.11,28.00,31.00,1.10,0.00,,
Marcus Mariota,TEN,7.00,95.00,160.00,59.40,1203.00,7.50,7.00,2.00,92.27,24.00,129.00,5.40,0.00,,
Joe Flacco PUP,DEN,8.00,171.00,262.00,65.30,1822.00,7.00,6.00,5.00,85.13,12.00,20.00,1.70,0.00,,
Taysom Hill,NO,16.00,3.00,6.00,50.00,55.00,9.20,0.00,0.00,81.94,27.00,156.00,5.80,1.00,,
