Name,team,gms,att,yds,avg,td,tgts,rec,yds,td,fum,lst
Christian McCaffrey,CAR,16.00,287.00,1387.00,4.80,15.00,141.00,116.00,1005.00,4.00,1.00,0.00
Derrick Henry,TEN,15.00,303.00,1540.00,5.10,16.00,24.00,18.00,206.00,2.00,5.00,3.00
Aaron Jones,GB,16.00,236.00,1084.00,4.60,16.00,68.00,49.00,474.00,3.00,3.00,2.00
Ezekiel Elliott,DAL,16.00,301.00,1357.00,4.50,12.00,71.00,54.00,420.00,2.00,3.00,2.00
Dalvin Cook,MIN,14.00,250.00,1135.00,4.50,13.00,63.00,53.00,519.00,0.00,4.00,2.00
Nick Chubb,CLE,16.00,298.00,1494.00,5.00,8.00,49.00,36.00,278.00,0.00,3.00,3.00
Austin Ekeler,LAC,16.00,132.00,557.00,4.20,3.00,108.00,92.00,993.00,8.00,3.00,2.00
Mark Ingram II,BAL,15.00,202.00,1018.00,5.00,10.00,29.00,26.00,247.00,5.00,2.00,2.00
Chris Carson,SEA,15.00,278.00,1230.00,4.40,7.00,47.00,37.00,266.00,2.00,7.00,4.00
Saquon Barkley,NYG,13.00,217.00,1003.00,4.60,6.00,73.00,52.00,438.00,2.00,1.00,0.00
Joe Mixon,CIN,16.00,278.00,1137.00,4.10,5.00,45.00,35.00,287.00,3.00,0.00,0.00
Todd Gurley II,LAR,15.00,223.00,857.00,3.80,12.00,49.00,31.00,207.00,2.00,3.00,2.00
Leonard Fournette,JAX,15.00,265.00,1152.00,4.30,3.00,100.00,76.00,522.00,0.00,1.00,1.00
Josh Jacobs,LV,13.00,242.00,1150.00,4.80,7.00,27.00,20.00,166.00,0.00,1.00,1.00
Miles Sanders,PHI,16.00,179.00,818.00,4.60,3.00,63.00,50.00,509.00,3.00,2.00,1.00
Alvin Kamara,NO,14.00,171.00,797.00,4.70,5.00,97.00,81.00,533.00,1.00,4.00,1.00
Marlon Mack,IND,14.00,247.00,1091.00,4.40,8.00,17.00,14.00,82.00,0.00,0.00,0.00
Kenyan Drake,ARI,14.00,170.00,817.00,4.80,8.00,68.00,50.00,345.00,0.00,2.00,1.00
Phillip Lindsay,DEN,16.00,224.00,1011.00,4.50,7.00,48.00,35.00,196.00,0.00,0.00,0.00
Raheem Mostert,SF,16.00,137.00,772.00,5.60,8.00,22.00,14.00,180.00,2.00,2.00,2.00
Le'Veon Bell,NYJ,15.00,245.00,789.00,3.20,3.00,78.00,66.00,461.00,1.00,1.00,1.00
David Montgomery,CHI,16.00,242.00,889.00,3.70,6.00,35.00,25.00,185.00,1.00,2.00,2.00
Carlos Hyde,HOU,16.00,245.00,1070.00,4.40,6.00,16.00,10.00,42.00,0.00,4.00,2.00
Sony Michel,NE,16.00,247.00,912.00,3.70,7.00,20.00,12.00,94.00,0.00,2.00,1.00
Melvin Gordon III,LAC,12.00,162.00,612.00,3.80,8.00,55.00,42.00,296.00,1.00,4.00,3.00
Devonta Freeman,ATL,14.00,184.00,656.00,3.60,2.00,70.00,59.00,410.00,4.00,3.00,2.00
Ronald Jones II,TB,16.00,172.00,724.00,4.20,6.00,40.00,31.00,309.00,0.00,3.00,2.00
Adrian Peterson,WAS,15.00,211.00,898.00,4.30,5.00,23.00,17.00,142.00,0.00,3.00,2.00
James White,NE,15.00,67.00,263.00,3.90,1.00,95.00,72.00,645.00,5.00,1.00,1.00
Latavius Murray,NO,16.00,146.00,637.00,4.40,5.00,43.00,34.00,235.00,1.00,0.00,0.00
Devin Singletary,BUF,12.00,151.00,775.00,5.10,2.00,41.00,29.00,194.00,2.00,4.00,1.00
Tevin Coleman,SF,14.00,137.00,544.00,4.00,6.00,30.00,21.00,180.00,1.00,0.00,0.00
James Conner,PIT,10.00,116.00,464.00,4.00,4.00,38.00,34.00,251.00,3.00,1.00,1.00
Damien Williams,KC,11.00,111.00,498.00,4.50,5.00,37.00,30.00,213.00,2.00,1.00,1.00
Duke Johnson,HOU,16.00,83.00,410.00,4.90,2.00,62.00,44.00,410.00,3.00,1.00,1.00
Jamaal Williams,GB,14.00,107.00,460.00,4.30,1.00,45.00,39.00,253.00,5.00,0.00,0.00
David Johnson,ARI,13.00,94.00,345.00,3.70,2.00,47.00,36.00,370.00,4.00,1.00,1.00
Jordan Howard,PHI,10.00,119.00,525.00,4.40,6.00,14.00,10.00,69.00,1.00,0.00,0.00
Peyton Barber,TB,16.00,154.00,470.00,3.10,6.00,24.00,16.00,115.00,1.00,1.00,1.00
Royce Freeman,DEN,16.00,132.00,496.00,3.80,3.00,50.00,43.00,256.00,1.00,0.00,0.00
LeSean McCoy,KC,13.00,101.00,465.00,4.60,4.00,34.00,28.00,181.00,1.00,3.00,2.00
DeAndre Washington,LV,16.00,108.00,387.00,3.60,3.00,40.00,36.00,292.00,0.00,0.00,0.00
Gus Edwards,BAL,16.00,133.00,711.00,5.30,2.00,8.00,7.00,45.00,0.00,2.00,1.00
Tarik Cohen,CHI,16.00,64.00,213.00,3.30,0.00,104.00,79.00,456.00,3.00,3.00,0.00
Matt Breida,SF,13.00,123.00,623.00,5.10,1.00,22.00,19.00,120.00,1.00,2.00,1.00
Frank Gore,BUF,16.00,166.00,599.00,3.60,2.00,16.00,13.00,100.00,0.00,0.00,0.00
Kerryon Johnson,DET,8.00,113.00,403.00,3.60,3.00,15.00,10.00,127.00,1.00,1.00,1.00
Tony Pollard,DAL,15.00,86.00,455.00,5.30,2.00,20.00,15.00,107.00,1.00,1.00,1.00
Rex Burkhead,NE,13.00,65.00,302.00,4.60,3.00,38.00,27.00,279.00,0.00,1.00,1.00
Boston Scott,PHI,11.00,61.00,245.00,4.00,5.00,26.00,24.00,204.00,0.00,4.00,1.00
