,Player,Team,Position,Receptions,Receiving Yards,Receiving Yards per Reception,Receiving Touchdowns,Fumbles
7,Travis Kelce,KAN,TE,97,1229,12.7,5,1.0
11,Darren Waller,OAK,TE,90,1145,12.7,3,1.0
13,Zach Ertz,PHI,TE,88,916,10.4,6,1.0
16,George Kittle,SFO,TE,85,1053,12.4,5,1.0
26,Austin Hooper,ATL,TE,75,787,10.5,6,0.0
33,Tyler Higbee,LAR,TE,69,734,10.6,3,0.0
45,Jason Witten,DAL,TE,63,529,8.4,4,1.0
51,Dallas Goedert,PHI,TE,58,607,10.5,5,2.0
58,Hunter Henry,LAC,TE,55,652,11.9,5,1.0
66,Greg Olsen,CAR,TE,52,597,11.5,2,0.0
68,Mike Gesicki,MIA,TE,51,570,11.2,5,1.0
82,Evan Engram,NYG,TE,44,467,10.6,3,0.0
86,Jared Cook,NOR,TE,43,705,16.4,9,0.0
88,Jack Doyle,IND,TE,43,448,10.4,4,1.0
101,Noah Fant,DEN,TE,40,562,14.1,3,1.0
105,Kyle Rudolph,MIN,TE,39,367,9.4,6,0.0
107,Jimmy Graham,GNB,TE,38,447,11.8,3,1.0
108,Vance McDonald,PIT,TE,38,273,7.2,3,1.0
113,Jordan Akins,HOU,TE,36,418,11.6,2,0.0
114,Cameron Brate,TAM,TE,36,311,8.6,4,0.0
126,Jonnu Smith,TEN,TE,35,439,12.5,3,0.0
129,Darren Fells,HOU,TE,34,341,10.0,7,0.0
130,Ryan Griffin,NYJ,TE,34,320,9.4,5,0.0
131,O.J. Howard,TAM,TE,34,459,13.5,1,1.0
136,T.J. Hockenson,DET,TE,32,367,11.5,2,0.0
140,Nick Boyle,BAL,TE,31,321,10.4,2,0.0
143,Blake Jarwin,DAL,TE,31,365,11.8,3,1.0
146,Kaden Smith,NYG,TE,31,268,8.6,3,2.0
159,Dawson Knox,BUF,TE,28,388,13.9,2,0.0
169,C.J. Uzomah,CIN,TE,27,242,9.0,2,0.0
174,Jeremy Sprinkle,WAS,TE,26,241,9.3,1,1.0
177,Josh Hill,NOR,TE,25,226,9.0,3,0.0
185,Will Dissly,SEA,TE,23,262,11.4,4,1.0
192,Foster Moreau,OAK,TE,21,174,8.3,5,0.0
203,Charles Clay,ARI,TE,18,237,13.2,1,0.0
214,Ben Watson,NWE,TE,17,173,10.2,0,0.0
217,Jesse James,DET,TE,16,142,8.9,0,0.0
223,Ross Dwelley,SFO,TE,15,91,6.1,2,0.0
224,Demetrius Harris,CLE,TE,15,149,9.9,3,0.0
225,Marcedes Lewis,GNB,TE,15,156,10.4,1,0.0
231,Maxx Williams,ARI,TE,15,202,13.5,1,0.0
234,Trey Burton,CHI,TE,14,84,6.0,0,0.0
236,Jeff Heuerman,DEN,TE,14,114,8.1,1,0.0
239,James O'Shaughnessy,JAX,TE,14,153,10.9,2,0.0
245,Matt LaCosse,NWE,TE,13,131,10.1,1,0.0
251,Seth Devalve,JAX,TE,12,140,11.7,0,0.0
280,Andrew Beck,DEN,TE,9,90,10.0,1,0.0
297,Blake Bell,KAN,TE,8,67,8.4,0,0.0
307,Luke Stocker,ATL,TE,8,53,6.6,0,1.0
310,Luke Willson,SEA,TE,8,79,9.9,0,0.0
320,Durham Smythe,MIA,TE,7,65,9.3,0,0.0
330,Troy Fumagalli,DEN,TE,6,38,6.3,1,0.0
339,MyCole Pruitt,TEN,TE,6,90,15.0,1,0.0
344,Stephen Carlson,CLE,TE,5,51,10.2,1,0.0
402,Pharaoh Brown,CLE,TE,2,27,13.5,0,0.0
435,Antony Auclair,TAM,TE,1,11,11.0,0,0.0
461,Ben Koyack,JAX,TE,1,9,9.0,0,0.0
462,Chris Manhertz,CAR,TE,1,11,11.0,0,0.0
